,precision,recall,f1-score,support
aurora watching,0.0,0.0,0.0,1.0
boat tour,0.0,0.0,0.0,1.0
boating,0.0,0.0,0.0,1.0
camel riding,0.0,0.0,0.0,1.0
camping,0.0,0.0,0.0,1.0
city exploration,0.0,0.0,0.0,1.0
city exploring,0.0,0.0,0.0,1.0
cultural visit,0.0,0.0,0.0,1.0
exploring,0.0,0.0,0.0,5.0
hiking,0.0,0.0,0.0,19.0
nan,0.0,0.0,0.0,6.0
no activity,0.0,0.0,0.0,1.0
photography,0.0,0.0,0.0,1.0
pilgrimage,0.0,0.0,0.0,1.0
praying,0.0,0.0,0.0,2.0
relaxing,0.0,0.0,0.0,31.0
shopping,0.0,0.0,0.0,1.0
sightseeing,0.5459459459459459,1.0,0.7062937062937062,101.0
skiing,0.0,0.0,0.0,1.0
skydiving,0.0,0.0,0.0,1.0
swimming,0.0,0.0,0.0,1.0
urban exploration,0.0,0.0,0.0,1.0
walking,0.0,0.0,0.0,3.0
wandering,0.0,0.0,0.0,1.0
worship,0.0,0.0,0.0,1.0
accuracy,0.5459459459459459,0.5459459459459459,0.5459459459459459,0.5459459459459459
macro avg,0.021837837837837836,0.04,0.02825174825174825,185.0
weighted avg,0.2980569758948137,0.5459459459459459,0.3855981855981856,185.0
