,precision,recall,f1-score,support
aurora watching,0.0,0.0,0.0,1.0
boat tour,0.0,0.0,0.0,1.0
boating,0.0,0.0,0.0,1.0
camel riding,0.0,0.0,0.0,1.0
camping,0.0,0.0,0.0,1.0
city exploration,0.0,0.0,0.0,1.0
city exploring,0.0,0.0,0.0,1.0
cultural visit,0.0,0.0,0.0,1.0
exploring,0.0,0.0,0.0,5.0
hiking,0.5263157894736842,0.5263157894736842,0.5263157894736842,19.0
nan,0.5,0.16666666666666666,0.25,6.0
no activity,0.0,0.0,0.0,1.0
photography,0.0,0.0,0.0,1.0
pilgrimage,0.0,0.0,0.0,1.0
praying,1.0,0.5,0.6666666666666666,2.0
relaxing,0.4857142857142857,0.5483870967741935,0.5151515151515151,31.0
shopping,0.0,0.0,0.0,1.0
sightseeing,0.68,0.8415841584158416,0.7522123893805309,101.0
skiing,0.0,0.0,0.0,1.0
skydiving,0.0,0.0,0.0,1.0
swimming,0.0,0.0,0.0,1.0
urban exploration,0.0,0.0,0.0,1.0
walking,0.0,0.0,0.0,3.0
wandering,0.0,0.0,0.0,1.0
worship,0.0,0.0,0.0,1.0
accuracy,0.6162162162162163,0.6162162162162163,0.6162162162162163,0.6162162162162163
macro avg,0.1276812030075188,0.10331814845321544,0.10841385442689587,185.0
weighted avg,0.5337142857142857,0.6162162162162163,0.5663593601646698,185.0
