,precision,recall,f1-score,support
aurora watching,0.0,0.0,0.0,1.0
boat tour,0.0,0.0,0.0,1.0
boating,0.0,0.0,0.0,1.0
camel riding,0.0,0.0,0.0,1.0
camping,0.0,0.0,0.0,1.0
city exploration,0.0,0.0,0.0,1.0
city exploring,0.0,0.0,0.0,1.0
cultural visit,0.0,0.0,0.0,1.0
exploring,0.0,0.0,0.0,5.0
hiking,0.5333333333333333,0.42105263157894735,0.47058823529411764,19.0
nan,0.5,0.16666666666666666,0.25,6.0
no activity,0.0,0.0,0.0,1.0
photography,0.0,0.0,0.0,1.0
pilgrimage,0.0,0.0,0.0,1.0
praying,0.0,0.0,0.0,2.0
relaxing,0.5925925925925926,0.5161290322580645,0.5517241379310345,31.0
shopping,0.0,0.0,0.0,1.0
sightseeing,0.6382978723404256,0.8910891089108911,0.743801652892562,101.0
skiing,0.0,0.0,0.0,1.0
skydiving,0.0,0.0,0.0,1.0
swimming,0.0,0.0,0.0,1.0
urban exploration,0.0,0.0,0.0,1.0
walking,0.0,0.0,0.0,3.0
wandering,0.0,0.0,0.0,1.0
worship,0.0,0.0,0.0,1.0
accuracy,0.6216216216216216,0.6216216216216216,0.6216216216216216,0.6216216216216216
macro avg,0.09056895193065406,0.07979749757658278,0.08064456104470857,185.0
weighted avg,0.5187664260004686,0.6216216216216216,0.5549653604789138,185.0
