,precision,recall,f1-score,support
aurora watching,0.0,0.0,0.0,1.0
boat tour,0.0,0.0,0.0,1.0
boating,0.0,0.0,0.0,1.0
camel riding,0.0,0.0,0.0,1.0
camping,0.0,0.0,0.0,1.0
city exploration,0.0,0.0,0.0,1.0
city exploring,0.0,0.0,0.0,1.0
cultural visit,0.0,0.0,0.0,1.0
exploring,0.0,0.0,0.0,5.0
hiking,0.3888888888888889,0.3684210526315789,0.3783783783783784,19.0
nan,0.3076923076923077,0.6666666666666666,0.42105263157894735,6.0
no activity,0.0,0.0,0.0,1.0
photography,0.0,0.0,0.0,1.0
pilgrimage,0.0,0.0,0.0,1.0
praying,0.25,0.5,0.3333333333333333,2.0
relaxing,0.3333333333333333,0.3870967741935484,0.3582089552238806,31.0
shopping,0.0,0.0,0.0,1.0
sightseeing,0.6470588235294118,0.6534653465346535,0.6502463054187192,101.0
skiing,0.0,0.0,0.0,1.0
skydiving,0.0,0.0,0.0,1.0
swimming,0.0,0.0,0.0,1.0
urban exploration,0.0,0.0,0.0,1.0
walking,0.0,0.0,0.0,3.0
wandering,0.0,0.0,0.0,1.0
worship,0.0,0.0,0.0,1.0
accuracy,0.4864864864864865,0.4864864864864865,0.4864864864864865,0.4864864864864865
macro avg,0.07707893413775767,0.1030259936010579,0.08564878415733036,185.0
weighted avg,0.46173684997214404,0.4864864864864865,0.47114338434897557,185.0
