,precision,recall,f1-score,support
aurora watching,0.0,0.0,0.0,1.0
boat tour,0.0,0.0,0.0,1.0
boating,0.0,0.0,0.0,1.0
camel riding,0.0,0.0,0.0,1.0
camping,0.0,0.0,0.0,1.0
city exploration,0.0,0.0,0.0,1.0
city exploring,0.0,0.0,0.0,1.0
cultural visit,0.0,0.0,0.0,1.0
exploring,0.0,0.0,0.0,5.0
hiking,1.0,0.05263157894736842,0.1,19.0
nan,0.0,0.0,0.0,6.0
no activity,0.0,0.0,0.0,1.0
photography,0.0,0.0,0.0,1.0
pilgrimage,0.0,0.0,0.0,1.0
praying,0.0,0.0,0.0,2.0
relaxing,0.6666666666666666,0.1935483870967742,0.3,31.0
shopping,0.0,0.0,0.0,1.0
sightseeing,0.5657142857142857,0.9801980198019802,0.717391304347826,101.0
skiing,0.0,0.0,0.0,1.0
skydiving,0.0,0.0,0.0,1.0
swimming,0.0,0.0,0.0,1.0
urban exploration,0.0,0.0,0.0,1.0
walking,0.0,0.0,0.0,3.0
wandering,0.0,0.0,0.0,1.0
worship,0.0,0.0,0.0,1.0
accuracy,0.572972972972973,0.572972972972973,0.572972972972973,0.572972972972973
macro avg,0.0892952380952381,0.04905511943384491,0.044695652173913046,185.0
weighted avg,0.5232638352638352,0.572972972972973,0.4521974148061105,185.0
